"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.241402208E0,3.177407683E0,1.578164089E0,1.432812248E0,3.826156351E0
2.251418208E0,2.335149305E0,1.291100884E0,-2.695856949E-2,2.668443467E0
2.261435208E0,1.575064919E0,2.161389352E0,-2.040817426E0,3.364129783E0
2.271451208E0,1.782690922E0,2.880904441E0,-1.935272845E0,3.901650715E0
2.281468208E0,2.085179813E0,2.421462395E0,-8.358928797E-1,3.303054933E0
2.291485208E0,2.271524875E0,8.892492342E-1,-2.216696265E-1,2.449433992E0
2.301501208E0,2.525286140E0,1.122080684E-3,-5.018087782E-2,2.525784922E0
2.311518208E0,2.496998481E0,-1.186639792E-1,1.853016993E-1,2.506674943E0
2.321535208E0,1.654081121E0,6.106551361E-1,3.858090828E-1,1.804919029E0
2.331551208E0,1.519718538E0,1.832253091E0,3.045001870E-1,2.399878369E0
2.341568208E0,1.464106839E0,2.653997390E0,-8.091961741E-3,3.031068535E0
2.351585208E0,9.858714031E-1,3.008105355E0,-6.306508595E-1,3.227748558E0
2.361601208E0,3.841262542E-2,2.935180635E0,-1.699017851E0,3.391669581E0
2.371618208E0,1.359689235E-1,2.422307902E0,-2.259202891E0,3.315126064E0
2.381634208E0,1.632368838E-1,2.002877768E0,-2.216970499E0,2.992177105E0
2.391651208E0,1.381007635E-1,1.378909691E0,-2.030742089E0,2.458531511E0
2.401668208E0,2.374203215E-2,6.981534559E-1,-1.955634166E0,2.076652817E0
2.411684208E0,-1.964827816E-1,7.356089652E-2,-1.814109766E0,1.826201230E0
2.421701208E0,-4.168414623E-1,-4.973109537E-1,-1.666075953E0,1.787983241E0
2.431718208E0,-1.576693295E-1,-1.078753400E0,-1.831528767E0,2.131446960E0
2.441734208E0,2.378409784E-1,-1.559708523E0,-2.756715428E0,3.176277531E0
2.451751208E0,1.046756121E0,-2.063248515E0,-3.977817247E0,4.601708689E0
2.461768208E0,1.834206938E0,-2.238161539E0,-3.948340555E0,4.895209425E0
2.471784208E0,2.665816952E0,-2.361899148E0,-3.093070076E0,4.717226950E0
2.481801208E0,3.463633567E0,-2.175730818E0,-2.496453520E0,4.791955995E0
2.491817208E0,4.073186211E0,-1.746329427E0,-2.559932063E0,5.117984422E0
2.501834208E0,4.391957990E0,-1.590708121E0,-3.224569863E0,5.676045993E0
2.511851208E0,4.776688700E0,-2.101778158E0,-3.559207769E0,6.316817735E0
2.521867208E0,5.184770558E0,-2.806981602E0,-3.144528790E0,6.681994669E0
2.531884208E0,5.482965108E0,-3.285320095E0,-3.028310409E0,7.072969562E0
2.541901208E0,5.996585115E0,-3.749457455E0,-3.279288400E0,7.795588282E0
2.551917208E0,6.541905802E0,-4.372815667E0,-3.630870659E0,8.666098899E0
2.561934208E0,7.122898598E0,-4.681698343E0,-3.202435813E0,9.105469727E0
2.571951208E0,7.276350587E0,-4.036588488E0,-2.439606305E0,8.671274613E0
2.581967208E0,5.372881917E0,-2.603186256E0,-2.331465998E0,6.409381599E0
2.591984208E0,2.878424052E0,-1.901899277E0,-2.410288219E0,4.208566880E0
2.602000208E0,1.969645848E0,-2.469825300E0,-2.740094132E0,4.181824678E0
2.612017208E0,1.581853244E0,-3.063226472E0,-2.022754793E0,3.997143112E0
2.622034208E0,-2.987960089E-2,-3.058518294E0,-1.553804370E-1,3.062608370E0
2.632050208E0,-1.924107587E0,-1.422132894E0,1.988314692E0,3.110956009E0
2.642067208E0,-1.433668427E0,-2.068228004E0,2.578897507E0,3.603288024E0
2.652084208E0,-1.561459471E-1,-4.991817119E0,3.032166063E0,5.842657849E0
2.662100208E0,-9.847461064E-1,-6.337335700E0,4.804415027E0,8.013360869E0
2.672117208E0,-1.513391558E0,-6.228500306E0,6.169936348E0,8.896779452E0
2.682134208E0,-1.250573979E0,-6.615629836E0,5.568840240E0,8.737418099E0
2.692150208E0,-8.043815768E-1,-7.112169542E0,3.266081586E0,7.867482078E0
2.702167208E0,-5.203715683E-1,-7.190961358E0,7.393687248E-2,7.210144137E0
2.712184208E0,-8.030948970E-1,-6.530037709E0,-1.946015350E0,6.861000629E0
2.722200208E0,-2.406035247E0,-5.182229358E0,-2.203617944E0,6.123760182E0
2.732217208E0,-4.085013959E0,-3.761877526E0,-7.409850414E-1,5.602510187E0
2.742233208E0,-4.639990738E0,-2.468178724E0,1.480804879E0,5.460238397E0
2.752250208E0,-4.254901009E0,-6.768941492E-1,3.766947062E0,5.722958890E0
2.762267208E0,-4.100434236E0,5.668805408E-1,4.377158979E0,6.024486302E0
2.772283208E0,-4.192411523E0,1.282299655E0,4.085123302E0,5.992398449E0
2.782300208E0,-4.206446887E0,2.405895352E0,2.860797328E0,5.627316342E0
