"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
"1.220669083E0","-1.163703737E1","-4.751076726E0","1.418887689E0","1.264937197E1"
"1.230689083E0","-1.218702648E1","-5.262251428E0","1.816219003E0","1.339826690E1"
"1.240709083E0","-1.287628924E1","-5.841046255E0","2.505543602E0","1.435947056E1"
"1.250729083E0","-1.358007532E1","-6.411228719E0","2.846812542E0","1.528485005E1"
"1.260749083E0","-1.460020395E1","-6.781293150E0","2.236872228E0","1.625286097E1"
"1.270769083E0","-1.626527930E1","-8.070991287E0","1.777389836E-1","1.815851873E1"
"1.280788083E0","-1.820743549E1","-9.836299607E0","-1.504623073E0","2.074915390E1"
"1.290808083E0","-1.985924935E1","-1.133445566E1","-2.867359951E0","2.304520391E1"
"1.300828083E0","-2.126719807E1","-1.271596795E1","-3.255419773E0","2.499174489E1"
"1.310848083E0","-2.180956241E1","-1.295600667E1","-2.133478253E0","2.545715716E1"
"1.320868083E0","-2.072827424E1","-1.171193904E1","-2.592547247E-1","2.380962163E1"
"1.330888083E0","-1.902122991E1","-9.852644913E0","2.187378179E0","2.153291486E1"
"1.340907083E0","-1.741660425E1","-8.231030749E0","4.448604645E0","1.977063616E1"
"1.350927083E0","-1.624030468E1","-7.163668309E0","6.267810552E0","1.882421549E1"
"1.360947083E0","-1.558168834E1","-6.953939209E0","6.807160648E0","1.837072993E1"
"1.370967083E0","-1.533743961E1","-6.798811408E0","6.328199426E0","1.793061623E1"
"1.380987083E0","-1.509274300E1","-6.200389232E0","5.480866542E0","1.721265859E1"
"1.391006083E0","-1.481604223E1","-5.749136211E0","4.362095967E0","1.648015642E1"
"1.401026083E0","-1.482756358E1","-5.522649575E0","3.321339236E0","1.616748571E1"
"1.411046083E0","-1.461934306E1","-5.124088154E0","2.760232528E0","1.573532188E1"
"1.421066083E0","-1.382449712E1","-4.504410179E0","2.803504847E0","1.480763557E1"
"1.431086083E0","-1.290207430E1","-3.997617965E0","3.289098858E0","1.390189346E1"
"1.441103250E0","-1.221631986E1","-3.634474006E0","3.811715099E0","1.330327194E1"
"1.451122250E0","-1.122576177E1","-3.096790659E0","4.091214931E0","1.234284729E1"
"1.461142250E0","-9.921824491E0","-2.507737477E0","3.779220952E0","1.090934734E1"
"1.471162250E0","-8.701681323E0","-1.908878806E0","3.349452356E0","9.517452770E0"
"1.481182250E0","-7.484212672E0","-1.432958721E0","3.210896734E0","8.269018554E0"
"1.491202250E0","-6.768559084E0","-1.231930862E0","3.359589089E0","7.656231747E0"
"1.501221250E0","-6.107627249E0","-1.027752816E0","3.563320701E0","7.145392983E0"
"1.511241250E0","-6.121688048E0","-7.443599081E-1","3.489363948E0","7.085534348E0"
"1.521261250E0","-5.695959293E0","-9.255706760E-1","2.895823319E0","6.456502617E0"
"1.531281250E0","-3.980400839E0","-1.203483866E0","1.553200572E0","4.438963423E0"
"1.541301250E0","-8.869904548E-1","-1.559730450E0","9.703840292E-1","2.039891249E0"
"1.551321250E0","3.748603177E0","-2.329416695E0","1.422821696E0","4.637092785E0"
"1.561340250E0","8.983310711E0","-2.753441864E0","4.157813255E-1","9.405008641E0"
"1.571360250E0","1.649515674E1","-1.252345539E0","-2.166462396E0","1.668388817E1"
"1.581380250E0","2.962960055E1","1.658540062E0","-2.907901036E0","2.981811316E1"
"1.591400250E0","4.220978680E1","3.929128944E0","5.155875957E-1","4.239540053E1"
"1.601420250E0","4.769033993E1","4.141489291E0","6.665687850E0","4.833168578E1"
"1.611440250E0","4.816951223E1","2.139063513E0","1.238481440E1","4.978213665E1"
"1.621459250E0","4.499377247E1","6.328757250E-1","1.585221796E1","4.770883468E1"
"1.631479250E0","3.838357937E1","3.226119375E-1","1.630346279E1","4.170379051E1"
"1.641499250E0","3.040680544E1","-4.703215219E-1","1.483991758E1","3.383811716E1"
"1.651519250E0","2.179527415E1","-1.671270912E0","1.249560510E1","2.517870665E1"
"1.661539250E0","1.331293709E1","-2.812772684E0","9.048856829E0","1.634098510E1"
"1.671558250E0","6.275537648E0","-3.566137012E0","5.044595257E0","8.806114198E0"
"1.681578250E0","1.150193512E0","-3.706392127E0","1.309219359E0","4.095649283E0"
"1.691598250E0","-2.664358072E0","-3.485573198E0","-2.191087214E0","4.903966520E0"
"1.701618250E0","-4.819594399E0","-3.125642283E0","-4.320074367E0","7.187570687E0"
"1.711638250E0","-5.712156081E0","-2.633323975E0","-4.735003315E0","7.872952345E0"
"1.721657250E0","-5.979691340E0","-2.184197440E0","-4.983486591E0","8.084711843E0"
"1.731677250E0","-6.036231576E0","-1.836251710E0","-5.624273014E0","8.452239876E0"
"1.741697250E0","-5.890126614E0","-1.837323797E0","-6.253494229E0","8.784961032E0"
"1.751717250E0","-5.928555100E0","-2.137368990E0","-6.361290573E0","8.954447472E0"
"1.761737250E0","-6.264382330E0","-2.230974288E0","-6.126518433E0","9.041789666E0"
"1.771757250E0","-6.516807214E0","-2.447521242E0","-5.798791351E0","9.060083754E0"
"1.781776250E0","-6.594888008E0","-2.665956116E0","-4.945056351E0","8.663339550E0"
"1.791796250E0","-6.767652766E0","-2.552339161E0","-3.395292188E0","7.990217030E0"
"1.801816250E0","-6.906138806E0","-2.373003449E0","-1.972075367E0","7.564058423E0"
"1.811836250E0","-6.760199320E0","-2.464082457E0","-8.704486817E-1","7.247736068E0"
"1.821856250E0","-6.183110125E0","-2.754361339E0","4.251393557E-2","6.768985495E0"
"1.831875250E0","-5.713243663E0","-3.257662472E0","7.199230783E-1","6.616026540E0"
"1.841895250E0","-5.154384917E0","-3.619125357E0","8.891591871E-1","6.360531132E0"
"1.851915250E0","-4.413893527E0","-3.464773482E0","4.007582206E-1","5.625630498E0"
"1.861935250E0","-3.670295511E0","-2.710964473E0","-3.300466722E-1","4.574858284E0"
"1.871955250E0","-3.191691554E0","-1.844841854E0","-8.854672551E-1","3.791357106E0"
"1.881975250E0","-3.254306463E0","-1.216082131E0","-1.028334614E0","3.623097898E0"
"1.891994250E0","-3.489705425E0","-9.372779712E-1","-1.052404093E0","3.763520735E0"
"1.902014250E0","-3.822544143E0","-9.144687138E-1","-1.131632549E0","4.090072001E0"
"1.912034250E0","-4.093345072E0","-1.055826102E0","-8.707685244E-1","4.316072342E0"
"1.922054250E0","-4.759392636E0","-1.134048107E0","-2.212622948E-1","4.897636203E0"
"1.932074250E0","-5.349352137E0","-8.950038446E-1","6.637979941E-1","5.464176785E0"
"1.942093250E0","-5.941902539E0","-5.523958182E-1","1.205775390E0","6.088122963E0"
"1.952113250E0","-6.580857030E0","-1.650155886E-1","1.281789339E0","6.706555994E0"
"1.962133250E0","-6.748961556E0","2.450709144E-1","1.284253356E0","6.874434415E0"
"1.972153250E0","-6.518477179E0","1.061160517E0","1.153700233E0","6.704299412E0"
"1.982173250E0","-6.453930350E0","2.232507720E0","6.629570183E-1","6.861254965E0"
"1.992192250E0","-6.775872197E0","3.244230249E0","-7.223679453E-2","7.512835156E0"
"2.002212250E0","-7.410358245E0","3.594979280E0","-3.344256520E-1","8.243125976E0"
"2.012232250E0","-8.342987972E0","3.213659836E0","-8.167624712E-2","8.940902015E0"
"2.022252250E0","-8.965717608E0","2.623174670E0","5.362466857E-1","9.356959874E0"
"2.032272250E0","-9.244155586E0","2.292591954E0","1.214217307E0","9.601287103E0"
"2.042292250E0","-8.681110234E0","2.288009638E0","1.718361902E0","9.140537764E0"
"2.052311250E0","-7.655544276E0","2.908371152E0","2.109404974E0","8.456687902E0"
"2.062331250E0","-6.832884888E0","3.850779762E0","2.066944833E0","8.111046888E0"
"2.072351250E0","-6.103533613E0","4.790598933E0","1.474761343E0","7.897966936E0"
"2.082371250E0","-5.944461865E0","5.323127959E0","1.322798348E0","8.088393760E0"
"2.092391250E0","-6.132781971E0","5.065963322E0","1.902845649E0","8.178986529E0"
"2.102410250E0","-6.678562834E0","4.453454911E0","1.701361122E0","8.205552500E0"
"2.112430250E0","-6.628505990E0","3.834879721E0","9.180973497E-1","7.712736018E0"
"2.122450250E0","-4.768997857E0","4.136706854E0","-2.322660238E-2","6.313178568E0"
"2.132470250E0","2.178818733E-1","5.348006108E0","-9.592395285E-1","5.437718484E0"
"2.142490250E0","6.274355925E0","6.366617972E0","-1.735690126E0","9.105711773E0"
"2.152509250E0","1.056362658E1","6.331928195E0","-1.656603756E0","1.242690054E1"
"2.162529250E0","1.378005361E1","6.525920684E0","-1.517026187E0","1.532249610E1"
"2.172549250E0","1.744026092E1","5.059384620E0","-5.507562590E-1","1.816764723E1"
"2.182569250E0","2.415020751E1","2.570125806E0","2.705934699E0","2.443686052E1"
"2.192589250E0","3.401138936E1","2.112505752E0","6.725824124E0","3.473433455E1"
"2.202608250E0","4.623772784E1","3.548189276E0","8.588485075E0","4.716226456E1"
"2.212628250E0","5.927365075E1","5.132171345E0","7.063179231E0","5.991321521E1"
"2.222648250E0","6.569017938E1","5.712932006E0","3.862823857E0","6.605118218E1"
