"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.692335333E0,-3.127272487E0,1.424947743E0,-1.187172912E0,3.635888997E0
1.702326333E0,-3.556466594E0,2.215024692E0,-1.622998785E0,4.493207549E0
1.712318333E0,-3.058451051E0,3.560741494E0,-6.059609914E-1,4.732884062E0
1.722309333E0,-5.360843085E0,2.270108972E0,-4.501446810E-1,5.839063586E0
1.732301333E0,-6.249608170E0,1.681765641E0,1.492080796E-1,6.473654377E0
1.742292333E0,-6.098384555E0,5.627190775E-1,1.316003445E0,6.264089080E0
1.752284333E0,-5.119008093E0,-7.091503143E-2,2.690087575E0,5.783238189E0
1.762275333E0,-4.285276417E0,5.043463236E-1,4.074335189E0,5.934489567E0
1.772267333E0,-3.911168636E0,7.800530666E-1,5.987732431E0,7.194349348E0
1.782258333E0,-2.638276566E0,1.731385113E0,6.077570221E0,6.847996601E0
1.792250333E0,-5.564128554E-1,3.238734743E0,4.281544139E0,5.397278779E0
1.802241333E0,1.180499923E0,4.206451857E0,3.294038293E0,5.471609048E0
1.812233333E0,2.539196666E0,4.813154275E0,2.737639471E0,6.091686438E0
1.822224333E0,3.464841602E0,4.932643297E0,2.642252381E0,6.581610355E0
1.832216333E0,3.703959978E0,4.476032472E0,2.714354981E0,6.412636679E0
1.842207333E0,3.758565371E0,3.973215780E0,2.972947217E0,6.225084131E0
1.852199333E0,3.954224901E0,3.546012942E0,3.301606637E0,6.253855510E0
1.862190333E0,4.272976507E0,2.887448060E0,3.730928214E0,6.365179484E0
1.872182333E0,3.934856584E0,4.438165319E-1,4.015787896E0,5.639735975E0
1.882173333E0,2.717585860E0,-2.964992080E0,3.211721191E0,5.146999510E0
1.892165333E0,1.858670227E0,-6.016064529E0,1.915935226E0,6.581678754E0
1.902157333E0,9.302005014E-1,-7.564954534E0,-2.603165790E-2,7.621974004E0
1.912148333E0,-4.220061252E-1,-7.739046024E0,-5.739998767E0,9.644610328E0
1.922140333E0,-3.634299174E0,-7.967248233E0,-1.763520241E1,1.968973181E1
1.932131333E0,-1.708660494E0,-4.840765412E0,-8.007089406E0,9.511362217E0
1.942123333E0,1.921890615E0,1.857649888E0,-1.597314159E0,3.113830304E0
1.952114333E0,3.751610108E0,3.912017652E0,1.415336237E0,5.601931557E0
1.962106333E0,3.589290816E0,3.190136780E0,2.545350276E0,5.434959914E0
1.972097333E0,2.767176681E0,2.234390085E0,2.849195575E0,4.557157147E0
1.982089333E0,2.603734432E0,2.105761281E0,2.838390505E0,4.389774963E0
1.992080333E0,1.942367857E0,1.324522399E0,2.354537065E0,3.327310816E0
2.002072333E0,1.100303898E0,1.886042798E-1,1.987689771E0,2.279726051E0
2.012063333E0,-1.689786851E-2,-1.166970928E0,-4.737380500E-1,1.259577081E0
2.022055333E0,-1.908812732E0,-3.275638860E0,-6.157413951E0,7.230983512E0
2.032046333E0,-1.836620961E0,-3.308052900E0,-3.456508443E0,5.124825964E0
2.042038333E0,-1.165701205E0,-2.431237770E0,-5.649145608E-1,2.754796699E0
2.052029333E0,-1.060201062E0,-1.775394766E0,1.019840949E0,2.305673097E0
2.062021333E0,-1.279307927E0,-1.369230795E0,1.688846619E0,2.522622573E0
2.072012333E0,-1.658539331E0,-9.294997126E-1,1.359915011E0,2.337539575E0
2.082004333E0,-2.059658325E0,-1.110351169E-1,6.048815954E-1,2.149512260E0
2.091995333E0,-2.531536814E0,6.289230072E-1,1.436859691E-1,2.612444918E0
2.101987333E0,-2.655194023E0,1.451993455E0,5.077970579E-2,3.026700988E0
2.111978333E0,-2.152599233E0,2.199293928E0,3.575573833E-1,3.098132424E0
2.121970333E0,-1.382523270E0,2.692885467E0,7.210631391E-1,3.111741439E0
2.131961333E0,-1.177076086E0,2.988824746E0,8.720228983E-1,3.328513994E0
2.141953333E0,-1.252373898E0,3.200582246E0,7.949465096E-1,3.527620592E0
2.151944333E0,-8.912934208E-1,3.413480537E0,1.726555605E-1,3.532147120E0
